,Time,Image file,File path,Predicted label
1097,2022-09-15 13:00:01,WSCT9153.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9153.JPG,0
910,2022-09-15 13:30:01,WSCT9154.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9154.JPG,0
796,2022-09-15 14:00:01,WSCT9155.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9155.JPG,0
639,2022-09-15 14:30:01,WSCT9156.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9156.JPG,0
758,2022-09-15 15:00:01,WSCT9157.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9157.JPG,0
1686,2022-09-15 15:30:01,WSCT9158.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9158.JPG,0
1561,2022-09-15 16:00:01,WSCT9159.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9159.JPG,0
1411,2022-09-15 16:30:01,WSCT9160.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9160.JPG,0
1531,2022-09-15 17:00:01,WSCT9161.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9161.JPG,0
1378,2022-09-15 17:30:01,WSCT9162.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9162.JPG,0
1265,2022-09-15 18:00:01,WSCT9163.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9163.JPG,0
1691,2022-09-15 18:30:01,WSCT9164.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9164.JPG,0
1555,2022-09-15 19:00:01,WSCT9165.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9165.JPG,0
1706,2022-09-15 19:30:01,WSCT9166.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9166.JPG,0
1704,2022-09-16 06:30:01,WSCT9172.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9172.JPG,0
1838,2022-09-16 07:00:01,WSCT9173.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9173.JPG,0
1416,2022-09-16 07:30:01,WSCT9174.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9174.JPG,0
1529,2022-09-16 08:00:01,WSCT9175.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9175.JPG,0
1379,2022-09-16 08:30:01,WSCT9176.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9176.JPG,0
1261,2022-09-16 09:00:01,WSCT9177.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9177.JPG,0
949,2022-09-16 09:30:01,WSCT9178.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9178.JPG,0
1072,2022-09-16 10:00:01,WSCT9179.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9179.JPG,0
770,2022-09-16 10:30:01,WSCT9180.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9180.JPG,0
630,2022-09-16 11:00:01,WSCT9181.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9181.JPG,0
