,Time,Predicted label
918,2022-08-21 09:00:01,0
919,2022-08-21 09:30:01,0
920,2022-08-21 10:00:01,0
921,2022-08-21 10:30:01,0
922,2022-08-21 11:00:01,0
923,2022-08-21 11:30:01,0
924,2022-08-21 12:00:01,0
925,2022-08-21 12:30:01,0
926,2022-08-21 13:00:01,0
927,2022-08-21 13:30:01,0
928,2022-08-21 14:00:01,0
929,2022-08-21 14:30:01,0
930,2022-08-21 15:00:01,0
931,2022-08-21 15:30:01,0
932,2022-08-21 16:00:01,0
933,2022-08-21 16:30:01,0
934,2022-08-21 17:00:01,0
935,2022-08-21 17:30:01,0
936,2022-08-21 18:00:01,0
937,2022-08-21 18:30:01,0
938,2022-08-21 19:00:01,0
939,2022-08-21 19:30:01,0
940,2022-08-22 06:00:01,0
941,2022-08-22 06:30:01,0
942,2022-08-22 07:00:01,1
943,2022-08-22 07:30:01,0
944,2022-08-22 08:00:01,1
945,2022-08-22 08:30:01,0
946,2022-08-22 09:00:01,0
947,2022-08-22 09:30:01,0
948,2022-08-22 10:00:01,0
949,2022-08-22 10:30:01,0
950,2022-08-22 11:00:01,0
951,2022-08-22 11:30:01,0
952,2022-08-22 12:00:01,0
953,2022-08-22 12:30:01,0
954,2022-08-22 13:00:01,0
955,2022-08-22 13:30:01,0
956,2022-08-22 14:00:01,0
957,2022-08-22 14:30:01,0
958,2022-08-22 15:00:01,0
959,2022-08-22 15:30:01,0
960,2022-08-22 16:00:01,0
961,2022-08-22 16:30:01,0
962,2022-08-22 17:00:01,0
963,2022-08-22 17:30:01,0
964,2022-08-22 18:00:01,0
965,2022-08-22 18:30:01,0
966,2022-08-22 19:00:01,0
967,2022-08-22 19:30:01,0
968,2022-08-23 06:00:01,0
969,2022-08-23 06:30:01,1
970,2022-08-23 07:00:01,1
971,2022-08-23 07:30:01,1
972,2022-08-23 08:00:01,1
973,2022-08-23 08:30:01,1
974,2022-08-23 09:00:01,1
975,2022-08-23 09:30:01,1
976,2022-08-23 10:00:01,0
977,2022-08-23 10:30:01,0
978,2022-08-23 11:00:01,0
979,2022-08-23 11:30:01,0
980,2022-08-23 12:00:01,0
981,2022-08-23 12:30:01,0
982,2022-08-23 13:00:01,0
983,2022-08-23 13:30:01,0
984,2022-08-23 14:00:01,0
985,2022-08-23 14:30:01,0
986,2022-08-23 15:00:01,0
987,2022-08-23 15:30:01,0
988,2022-08-23 16:00:01,0
989,2022-08-23 16:30:01,0
990,2022-08-23 17:00:01,0
991,2022-08-23 17:30:01,0
992,2022-08-23 18:00:01,0
993,2022-08-23 18:30:01,0
994,2022-08-23 19:00:01,0
995,2022-08-23 19:30:01,0
996,2022-08-24 06:00:01,0
997,2022-08-24 06:30:01,0
998,2022-08-24 07:00:01,1
999,2022-08-24 07:30:01,0
1000,2022-08-24 08:00:01,1
1001,2022-08-24 08:30:01,0
1002,2022-08-24 09:00:01,0
1003,2022-08-24 09:30:01,1
1004,2022-08-24 10:00:01,0
1005,2022-08-24 10:30:01,0
1006,2022-08-24 11:00:01,0
1007,2022-08-24 11:30:01,0
1008,2022-08-24 12:00:01,0
1009,2022-08-24 12:30:01,0
1010,2022-08-24 13:00:01,0
1011,2022-08-24 13:30:01,0
1012,2022-08-24 14:00:01,0
1013,2022-08-24 14:30:01,0
1014,2022-08-24 15:00:01,0
1015,2022-08-24 15:30:01,0
1016,2022-08-24 16:00:01,0
1017,2022-08-24 16:30:01,0
1018,2022-08-24 17:00:01,0
1019,2022-08-24 17:30:01,0
1020,2022-08-24 18:00:01,0
1021,2022-08-24 18:30:01,0
1022,2022-08-24 19:00:01,0
1023,2022-08-24 19:30:01,1
1024,2022-08-25 06:00:01,0
